query,count,successes,failures,mean_seconds,median_seconds,min_seconds,max_seconds,stddev_seconds
Q1,3,3,0,3.240136,3.017149,2.953154,3.750106,0.442804
Q3,3,3,0,0.838097,0.835363,0.752144,0.926784,0.087352
Q6,3,3,0,0.499182,0.365628,0.359379,0.772540,0.236755
Q12,3,3,0,0.777930,0.748640,0.742574,0.842576,0.056067
Q14,3,3,0,0.499811,0.497113,0.487442,0.514878,0.013916
Q18,3,3,0,3.137088,3.161597,3.072528,3.177140,0.056448
