run_id,query,statement_id,status,start_time,end_time,duration_seconds
2026_08_27_05_48_13_779,Q1,query1.sql_0,SUCCESS,2026-08-27T05:48:13.799557Z,2026-08-27T05:48:23.858358Z,10.058801
2026_08_27_05_48_13_779,Q3,query3.sql_0,SUCCESS,2026-08-27T05:48:23.866371Z,2026-08-27T05:48:25.478081Z,1.61171
2026_08_27_05_48_13_779,Q6,query6.sql_0,SUCCESS,2026-08-27T05:48:25.478305Z,2026-08-27T05:48:25.895102Z,0.416797
2026_08_27_05_48_13_779,Q12,query12.sql_0,SUCCESS,2026-08-27T05:48:25.895291Z,2026-08-27T05:48:26.707918Z,0.812627
2026_08_27_05_48_13_779,Q14,query14.sql_0,SUCCESS,2026-08-27T05:48:26.708112Z,2026-08-27T05:48:27.295552Z,0.58744
2026_08_27_05_48_13_779,Q18,query18.sql_0,SUCCESS,2026-08-27T05:48:27.295760Z,2026-08-27T05:48:30.076701Z,2.780941
2026_08_27_05_48_13_779,Q1,query1.sql_0,SUCCESS,2026-08-27T05:48:30.137272Z,2026-08-27T05:48:37.243720Z,7.106448
2026_08_27_05_48_13_779,Q3,query3.sql_0,SUCCESS,2026-08-27T05:48:37.243914Z,2026-08-27T05:48:38.415743Z,1.171829
2026_08_27_05_48_13_779,Q6,query6.sql_0,SUCCESS,2026-08-27T05:48:38.415906Z,2026-08-27T05:48:38.816687Z,0.400781
2026_08_27_05_48_13_779,Q12,query12.sql_0,SUCCESS,2026-08-27T05:48:38.816929Z,2026-08-27T05:48:39.489351Z,0.672422
2026_08_27_05_48_13_779,Q14,query14.sql_0,SUCCESS,2026-08-27T05:48:39.489550Z,2026-08-27T05:48:40.031708Z,0.542158
2026_08_27_05_48_13_779,Q18,query18.sql_0,SUCCESS,2026-08-27T05:48:40.031940Z,2026-08-27T05:48:42.670332Z,2.638392
2026_08_27_05_48_13_779,Q1,query1.sql_0,SUCCESS,2026-08-27T05:48:42.712495Z,2026-08-27T05:48:49.881512Z,7.169017
2026_08_27_05_48_13_779,Q3,query3.sql_0,SUCCESS,2026-08-27T05:48:49.881718Z,2026-08-27T05:48:50.998429Z,1.116711
2026_08_27_05_48_13_779,Q6,query6.sql_0,SUCCESS,2026-08-27T05:48:50.998609Z,2026-08-27T05:48:51.399447Z,0.400838
2026_08_27_05_48_13_779,Q12,query12.sql_0,SUCCESS,2026-08-27T05:48:51.399639Z,2026-08-27T05:48:52.128798Z,0.729159
2026_08_27_05_48_13_779,Q14,query14.sql_0,SUCCESS,2026-08-27T05:48:52.129004Z,2026-08-27T05:48:52.669552Z,0.540548
2026_08_27_05_48_13_779,Q18,query18.sql_0,SUCCESS,2026-08-27T05:48:52.669767Z,2026-08-27T05:48:55.347342Z,2.677575
