query,count,successes,failures,mean_seconds,median_seconds,min_seconds,max_seconds,stddev_seconds
Q1,3,3,0,7.8876,7.8285,7.6377,8.1966,0.2841
Q3,3,3,0,1.6114,1.3363,1.2761,2.2218,0.5295
Q6,3,3,0,0.5293,0.5109,0.4341,0.6428,0.1055
Q12,3,3,0,0.9975,0.8861,0.8078,1.2986,0.2637
Q14,3,3,0,0.7264,0.6166,0.5951,0.9675,0.2091
Q18,3,3,0,4.6021,3.7044,3.4195,6.6825,1.8072
