window_id,config_id,repetition,query,policy_id,policy_name,decision,rf_predicted_qir,q95_predicted_qir,actual_concurrent_qir,observed_effective_qir,maintenance_executed,maintenance_delay_sec,maintenance_starved,sla_violation
6,frag50_multi_stream_FIFO,1,Q3,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),RUN,6.600169090878862,12.715068596707797,12.593935963908931,12.593935963908931,1,0.0,0,1
6,frag50_multi_stream_FIFO,1,Q3,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),DEFER,6.600169090878862,12.715068596707797,12.593935963908931,0.0,0,2.5225510597229004,1,0
7,frag50_multi_stream_FIFO,1,Q6,policy_1_always_run,Always Run (Baseline),RUN,2.1795821355878635,9.852525799095604,11.918104427451674,11.918104427451674,1,0.0,0,1
7,frag50_multi_stream_FIFO,1,Q6,policy_2_always_defer,Always Defer,DEFER,2.1795821355878635,9.852525799095604,11.918104427451674,0.0,0,1.7527012825012207,1,0
7,frag50_multi_stream_FIFO,1,Q6,policy_3_heuristic,Simple Resource Heuristic,RUN,2.1795821355878635,9.852525799095604,11.918104427451674,11.918104427451674,1,0.0,0,1
7,frag50_multi_stream_FIFO,1,Q6,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),RUN,2.1795821355878635,9.852525799095604,11.918104427451674,11.918104427451674,1,0.0,0,1
7,frag50_multi_stream_FIFO,1,Q6,policy_5_conservative_quantile,Conservative Quantile Policy (q=0.95 Upper Bound),RUN,2.1795821355878635,9.852525799095604,11.918104427451674,11.918104427451674,1,0.0,0,1
8,frag50_multi_stream_FIFO,1,Q12,policy_1_always_run,Always Run (Baseline),RUN,1.334817847935259,6.853491147973638,-0.6548046189818023,-0.6548046189818023,1,0.0,0,0
8,frag50_multi_stream_FIFO,1,Q12,policy_2_always_defer,Always Defer,DEFER,1.334817847935259,6.853491147973638,-0.6548046189818023,0.0,0,2.0449674129486084,1,0
8,frag50_multi_stream_FIFO,1,Q12,policy_3_heuristic,Simple Resource Heuristic,RUN,1.334817847935259,6.853491147973638,-0.6548046189818023,-0.6548046189818023,1,0.0,0,0
8,frag50_multi_stream_FIFO,1,Q12,policy_4_predictive_qir,Predictive QIR Policy (RF Regressor),RUN,1.334817847935259,6.853491147973638,-0.6548046189818023,-0.6548046189818023,1,0.0,0,0
