config_id,repetition,frag_files,workload_type,scheduler_mode,table_size_mb,avg_file_size_kb,pre_cpu_util_pct,pre_mem_used_pct,pre_disk_read_bytes_sec,pre_disk_write_bytes_sec,pre_disk_read_iops,pre_disk_write_iops,decision_timestamp
frag200_multi_stream_FAIR,0,200,multi_stream,FAIR,145.00,742.40,31.45,70.43,0,58795590,0.0,487.9,1788184998.117
frag200_multi_stream_FAIR,1,200,multi_stream,FAIR,145.00,742.40,28.14,70.42,0,60604738,0.0,471.7,1788185032.846
frag200_multi_stream_FAIR,2,200,multi_stream,FAIR,145.00,742.40,31.52,75.03,389389,7913834,47.6,74.8,1788185136.180
frag200_multi_stream_FAIR,3,200,multi_stream,FAIR,145.00,742.40,28.06,75.26,0,367950,0.0,39.5,1788185171.076
frag200_multi_stream_FAIR,4,200,multi_stream,FAIR,145.00,742.40,28.26,76.37,1636,1294941,0.4,17.6,1788185271.844
frag500_single_stream_FAIR,0,500,single_stream,FAIR,145.00,296.96,30.74,77.54,52375,65469,0.4,7.6,1788185323.400
frag500_single_stream_FAIR,1,500,single_stream,FAIR,145.00,296.96,30.15,75.76,1637,10657380,0.4,109.5,1788185351.194
frag500_single_stream_FAIR,2,500,single_stream,FAIR,145.00,296.96,29.43,79.26,0,67110,0.0,4.8,1788185410.982
frag500_single_stream_FAIR,3,500,single_stream,FAIR,145.00,296.96,28.70,76.26,0,114585,0.0,12.8,1788185438.845
frag500_single_stream_FAIR,4,500,single_stream,FAIR,145.00,296.96,32.40,79.02,42561,62968902,2.0,506.9,1788185498.500
frag500_multi_stream_FAIR,0,500,multi_stream,FAIR,145.00,296.96,30.52,77.89,53989,31722089,0.8,290.8,1788185559.181
frag500_multi_stream_FAIR,1,500,multi_stream,FAIR,145.00,296.96,31.56,77.40,3274,114543,0.8,16.0,1788185594.511
frag500_multi_stream_FAIR,2,500,multi_stream,FAIR,145.00,296.96,29.54,80.39,80206,631797,1.2,15.2,1788185695.580
frag500_multi_stream_FAIR,3,500,multi_stream,FAIR,145.00,296.96,30.13,79.88,1637,540320,0.4,9.6,1788185730.307
frag500_multi_stream_FAIR,4,500,multi_stream,FAIR,145.00,296.96,28.69,81.20,0,17916862,0.0,187.7,1788185831.687
