stage_id,task_id,launch_time,finish_time,duration_ms,executor_cpu_time_ms,jvm_gc_time_ms,deserialize_time_ms,serialize_time_ms,peak_memory_bytes,disk_spilled_bytes,memory_spilled_bytes
0,1,1788184172071,1788184173887,1816,1332.130193,21,63,0,0,0,0
0,0,1788184172054,1788184178607,6553,5891.1258,40,63,0,0,0,0
2,7,1788184178691,1788184181139,2448,1336.035948,140,7,3,0,0,0
2,11,1788184178691,1788184181253,2562,1273.230015,140,6,0,0,0,0
2,12,1788184178692,1788184181751,3059,1636.771142,156,4,0,0,0,0
2,15,1788184178693,1788184181767,3074,1620.711577,156,4,0,0,0,0
2,19,1788184181252,1788184181784,532,251.496662,16,1,0,0,0,0
2,17,1788184178693,1788184181793,3100,1549.927957,156,4,0,0,0,0
2,3,1788184178690,1788184181793,3103,1557.258291,156,9,0,0,0,0
2,4,1788184178690,1788184181802,3112,1565.026669,156,8,0,0,0,0
2,2,1788184178689,1788184181810,3121,1619.840742,156,11,0,0,0,0
2,9,1788184178691,1788184181818,3127,1611.005004,156,8,0,0,0,0
2,16,1788184178693,1788184181826,3133,1587.614279,156,6,0,0,0,0
2,5,1788184178690,1788184181836,3146,1559.856123,156,8,0,0,0,0
2,14,1788184178692,1788184181842,3150,1539.081478,156,6,0,0,0,0
2,13,1788184178692,1788184181850,3158,1579.317448,156,6,0,0,0,0
2,8,1788184178691,1788184181850,3159,1549.174757,156,7,0,0,0,0
2,10,1788184178691,1788184181850,3159,1562.517108,156,6,0,0,0,0
2,6,1788184178690,1788184181851,3161,1510.522493,156,9,0,0,0,0
2,18,1788184181137,1788184181936,799,659.619799,16,1,0,0,0,0
3,20,1788184183990,1788184184263,273,96.584877,0,23,5,0,0,0
4,22,1788184184526,1788184184688,162,145.552742,0,2,0,18377216,0,0
4,21,1788184184521,1788184184970,449,408.65922,0,2,0,18377216,0,0
6,23,1788184185022,1788184185029,7,2.975522,0,1,0,0,0,0
7,25,1788184191367,1788184192329,962,922.711689,18,2,0,0,0,0
7,24,1788184191367,1788184196904,5537,5471.017664,18,2,0,0,0,0
9,31,1788184196923,1788184198445,1522,846.596492,72,2,0,0,0,0
