config_id,frag_files,workload_type,scheduler_mode,repetition,run_type,query,client_start_time,client_end_time,duration_ms
frag50_multi_stream_FIFO,50,multi_stream,FIFO,3,concurrent,Q12,1788182866.6526616,1788182868.7811396,2128.4780502319336
frag50_multi_stream_FIFO,50,multi_stream,FIFO,3,concurrent,Q14,1788182868.7818916,1788182870.8268292,2044.9376106262207
frag50_multi_stream_FIFO,50,multi_stream,FIFO,3,concurrent,Q18,1788182870.8275206,1788182874.814424,3986.903429031372
frag50_multi_stream_FIFO,50,multi_stream,FIFO,3,baseline,Q1,1788182889.6931462,1788182897.6225932,7929.4469356536865
frag50_multi_stream_FIFO,50,multi_stream,FIFO,3,baseline,Q3,1788182897.6250596,1788182900.2875552,2662.4956130981445
frag50_multi_stream_FIFO,50,multi_stream,FIFO,3,baseline,Q6,1788182900.2882934,1788182902.0429633,1754.6699047088623
frag50_multi_stream_FIFO,50,multi_stream,FIFO,3,baseline,Q12,1788182902.0436642,1788182904.2538357,2210.1714611053467
frag50_multi_stream_FIFO,50,multi_stream,FIFO,3,baseline,Q14,1788182904.2545226,1788182906.1500857,1895.5631256103516
frag50_multi_stream_FIFO,50,multi_stream,FIFO,3,baseline,Q18,1788182906.150872,1788182910.144552,3993.680000305176
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,baseline,Q1,1788182925.122891,1788182933.114636,7991.7449951171875
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,baseline,Q3,1788182933.115405,1788182935.611427,2496.0219860076904
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,baseline,Q6,1788182935.6119883,1788182937.6377141,2025.7258415222168
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,baseline,Q12,1788182937.6386347,1788182939.6336076,1994.9729442596436
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,baseline,Q14,1788182939.634724,1788182941.5265987,1891.8747901916504
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,baseline,Q18,1788182941.5290232,1788182945.7322104,4203.1872272491455
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,concurrent,Q1,1788182962.4109428,1788182971.0522497,8641.30687713623
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,concurrent,Q3,1788182971.0563545,1788182973.845697,2789.3424034118652
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,concurrent,Q6,1788182973.8464596,1788182975.8215764,1975.1167297363281
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,concurrent,Q12,1788182975.822164,1788182978.0352664,2213.102340698242
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,concurrent,Q14,1788182978.0357733,1788182979.8331156,1797.342300415039
frag50_multi_stream_FIFO,50,multi_stream,FIFO,4,concurrent,Q18,1788182979.833749,1788182983.8289323,3995.183229446411
frag200_single_stream_FIFO,200,single_stream,FIFO,0,baseline,Q14,1788182999.263919,1788183001.2490604,1985.1412773132324
frag200_single_stream_FIFO,200,single_stream,FIFO,0,concurrent,Q14,1788183018.3281667,1788183020.3269427,1998.7759590148926
frag200_single_stream_FIFO,200,single_stream,FIFO,1,concurrent,Q14,1788183047.8332536,1788183049.9390147,2105.7610511779785
frag200_single_stream_FIFO,200,single_stream,FIFO,1,baseline,Q14,1788183075.6639764,1788183077.6552823,1991.3058280944824
frag200_single_stream_FIFO,200,single_stream,FIFO,2,baseline,Q14,1788183093.5224845,1788183095.5175693,1995.0847625732422
frag200_single_stream_FIFO,200,single_stream,FIFO,2,concurrent,Q14,1788183114.1294773,1788183116.397991,2268.5136795043945
frag200_single_stream_FIFO,200,single_stream,FIFO,3,concurrent,Q14,1788183145.9810085,1788183148.3942842,2413.275718688965
frag200_single_stream_FIFO,200,single_stream,FIFO,3,baseline,Q14,1788183176.3227057,1788183178.3234015,2000.6957054138184
frag200_single_stream_FIFO,200,single_stream,FIFO,4,baseline,Q14,1788183193.111004,1788183194.9896348,1878.6306381225586
frag200_single_stream_FIFO,200,single_stream,FIFO,4,concurrent,Q14,1788183211.8489456,1788183213.884997,2036.0512733459473
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,baseline,Q1,1788183239.3859699,1788183246.9214513,7535.4814529418945
frag200_multi_stream_FIFO,200,multi_stream,FIFO,0,baseline,Q3,1788183246.9282086,1788183249.2404237,2312.2150897979736
