scheduler_mode,expected_repetitions,observed_repetitions,expected_query_runs,observed_query_runs,expected_compaction_runs,observed_compaction_runs,completion_status
FAIR,22,22,264,264,22,22,COMPLETE
FIFO,22,22,264,264,22,22,COMPLETE
