chronological_index,repetition_cycle,repetition_type,phase_index,phase_position,state,query,statement_id,status,duration_seconds
60,3,MEASURED,10,1,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.305804
61,3,MEASURED,10,1,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.980091
62,3,MEASURED,10,1,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.302275
63,3,MEASURED,10,1,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.620625
64,3,MEASURED,10,1,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.457553
65,3,MEASURED,10,1,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.314812
66,3,MEASURED,11,2,control,Q1,query1_control.sql_0,SUCCESS,6.725727
67,3,MEASURED,11,2,control,Q3,query3_control.sql_0,SUCCESS,1.183953
68,3,MEASURED,11,2,control,Q6,query6_control.sql_0,SUCCESS,0.399068
69,3,MEASURED,11,2,control,Q12,query12_control.sql_0,SUCCESS,0.679172
70,3,MEASURED,11,2,control,Q14,query14_control.sql_0,SUCCESS,0.515449
71,3,MEASURED,11,2,control,Q18,query18_control.sql_0,SUCCESS,2.591269
72,4,MEASURED,12,0,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.645054
73,4,MEASURED,12,0,compacted,Q3,query3_compacted.sql_0,SUCCESS,1.026234
74,4,MEASURED,12,0,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.304322
75,4,MEASURED,12,0,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.603119
76,4,MEASURED,12,0,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.430348
77,4,MEASURED,12,0,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.295318
78,4,MEASURED,13,1,control,Q1,query1_control.sql_0,SUCCESS,6.599672
79,4,MEASURED,13,1,control,Q3,query3_control.sql_0,SUCCESS,1.144668
80,4,MEASURED,13,1,control,Q6,query6_control.sql_0,SUCCESS,0.378422
81,4,MEASURED,13,1,control,Q12,query12_control.sql_0,SUCCESS,0.655026
82,4,MEASURED,13,1,control,Q14,query14_control.sql_0,SUCCESS,0.484068
83,4,MEASURED,13,1,control,Q18,query18_control.sql_0,SUCCESS,2.458661
84,4,MEASURED,14,2,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.659992
85,4,MEASURED,14,2,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.689996
86,4,MEASURED,14,2,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.289792
87,4,MEASURED,14,2,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.6549
88,4,MEASURED,14,2,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.449957
89,4,MEASURED,14,2,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.855876
90,5,MEASURED,15,0,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.353819
91,5,MEASURED,15,0,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.944455
92,5,MEASURED,15,0,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.296777
93,5,MEASURED,15,0,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.568645
94,5,MEASURED,15,0,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.460211
95,5,MEASURED,15,0,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.203734
96,5,MEASURED,16,1,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.668296
97,5,MEASURED,16,1,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.653847
98,5,MEASURED,16,1,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.293977
99,5,MEASURED,16,1,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.685944
100,5,MEASURED,16,1,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.420181
101,5,MEASURED,16,1,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.783625
102,5,MEASURED,17,2,control,Q1,query1_control.sql_0,SUCCESS,6.717135
103,5,MEASURED,17,2,control,Q3,query3_control.sql_0,SUCCESS,1.197303
104,5,MEASURED,17,2,control,Q6,query6_control.sql_0,SUCCESS,0.381138
105,5,MEASURED,17,2,control,Q12,query12_control.sql_0,SUCCESS,0.642045
106,5,MEASURED,17,2,control,Q14,query14_control.sql_0,SUCCESS,0.489377
107,5,MEASURED,17,2,control,Q18,query18_control.sql_0,SUCCESS,2.478916
108,6,MEASURED,18,0,control,Q1,query1_control.sql_0,SUCCESS,6.615752
109,6,MEASURED,18,0,control,Q3,query3_control.sql_0,SUCCESS,1.151542
110,6,MEASURED,18,0,control,Q6,query6_control.sql_0,SUCCESS,0.386922
111,6,MEASURED,18,0,control,Q12,query12_control.sql_0,SUCCESS,0.638543
112,6,MEASURED,18,0,control,Q14,query14_control.sql_0,SUCCESS,0.479294
113,6,MEASURED,18,0,control,Q18,query18_control.sql_0,SUCCESS,2.427042
114,6,MEASURED,19,1,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.628404
115,6,MEASURED,19,1,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.684144
116,6,MEASURED,19,1,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.313258
117,6,MEASURED,19,1,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.627934
118,6,MEASURED,19,1,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.43243
119,6,MEASURED,19,1,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.793219
120,6,MEASURED,20,2,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.241143
121,6,MEASURED,20,2,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.966439
122,6,MEASURED,20,2,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.298293
123,6,MEASURED,20,2,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.566133
124,6,MEASURED,20,2,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.407452
125,6,MEASURED,20,2,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.246143
126,7,MEASURED,21,0,control,Q1,query1_control.sql_0,SUCCESS,6.611142
127,7,MEASURED,21,0,control,Q3,query3_control.sql_0,SUCCESS,1.103076
128,7,MEASURED,21,0,control,Q6,query6_control.sql_0,SUCCESS,0.403609
129,7,MEASURED,21,0,control,Q12,query12_control.sql_0,SUCCESS,0.650318
130,7,MEASURED,21,0,control,Q14,query14_control.sql_0,SUCCESS,0.482551
131,7,MEASURED,21,0,control,Q18,query18_control.sql_0,SUCCESS,2.401563
132,7,MEASURED,22,1,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.389176
133,7,MEASURED,22,1,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.973956
134,7,MEASURED,22,1,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.304034
135,7,MEASURED,22,1,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.567576
136,7,MEASURED,22,1,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.445416
137,7,MEASURED,22,1,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.202386
138,7,MEASURED,23,2,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.658997
139,7,MEASURED,23,2,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.678844
140,7,MEASURED,23,2,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.28958
141,7,MEASURED,23,2,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.629661
142,7,MEASURED,23,2,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.451266
143,7,MEASURED,23,2,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.768027
144,8,MEASURED,24,0,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.710055
145,8,MEASURED,24,0,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.678691
146,8,MEASURED,24,0,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.28213
147,8,MEASURED,24,0,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.642247
148,8,MEASURED,24,0,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.424083
149,8,MEASURED,24,0,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.879753
150,8,MEASURED,25,1,control,Q1,query1_control.sql_0,SUCCESS,6.674502
151,8,MEASURED,25,1,control,Q3,query3_control.sql_0,SUCCESS,1.123182
152,8,MEASURED,25,1,control,Q6,query6_control.sql_0,SUCCESS,0.384874
153,8,MEASURED,25,1,control,Q12,query12_control.sql_0,SUCCESS,0.629426
154,8,MEASURED,25,1,control,Q14,query14_control.sql_0,SUCCESS,0.477505
155,8,MEASURED,25,1,control,Q18,query18_control.sql_0,SUCCESS,2.446944
156,8,MEASURED,26,2,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.38068
157,8,MEASURED,26,2,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.930685
158,8,MEASURED,26,2,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.297371
159,8,MEASURED,26,2,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.56626
160,8,MEASURED,26,2,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.433919
161,8,MEASURED,26,2,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.260517
162,9,MEASURED,27,0,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.652951
163,9,MEASURED,27,0,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.65856
164,9,MEASURED,27,0,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.308841
165,9,MEASURED,27,0,fragmented,Q12,query12_fragmented.sql_0,SUCCESS,0.751661
166,9,MEASURED,27,0,fragmented,Q14,query14_fragmented.sql_0,SUCCESS,0.432668
167,9,MEASURED,27,0,fragmented,Q18,query18_fragmented.sql_0,SUCCESS,2.664593
168,9,MEASURED,28,1,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.237786
