query,state,count,successes,failures,mean_seconds,median_seconds,min_seconds,max_seconds,stddev_seconds,cv_percent,standard_error,ci_95_lower,ci_95_upper
Q1,fragmented,20,20,0,2.6969841,2.665817,2.604471,3.044264,0.10086306009160194,3.7398463005993228,0.02255366587834681,2.649778736028639,2.744189463971361
Q3,fragmented,20,20,0,0.6629408,0.6631325,0.560325,0.841343,0.0635365969406609,9.584052895923874,0.014207214981832294,0.6332047580698654,0.6926768419301346
Q6,fragmented,20,20,0,0.28473885,0.2803005,0.254854,0.327823,0.019943025788678466,7.003970757302162,0.0044593961340516405,0.27540522686592267,0.2940724731340773
Q12,fragmented,20,20,0,0.6348397,0.6357305,0.540536,0.762448,0.065254337398166,10.278868413264954,0.014591313424900592,0.6042997308101609,0.6653796691898392
Q14,fragmented,20,20,0,0.42203254999999995,0.41653249999999997,0.377223,0.542922,0.036810808572132876,8.722267647870497,0.008231147027402108,0.40480456172411866,0.43926053827588124
Q18,fragmented,20,20,0,2.7563379,2.758906,2.615536,2.969556,0.09139465977598701,3.3158002789130827,0.020436467203957264,2.7135638836669047,2.7991119163330955
Q1,control,20,20,0,6.5992693000000004,6.605407,6.459268,6.792616,0.0893285730070967,1.3536130887566098,0.019974476157692104,6.557462242014523,6.641076357985478
Q3,control,20,20,0,1.1006285999999998,1.1016629999999998,1.018641,1.197303,0.05116257253048213,4.648486558543194,0.011440299008192146,1.0766837796086774,1.1245734203913222
Q6,control,20,20,0,0.37912995,0.377876,0.361127,0.403609,0.01025786295315888,2.705632449548995,0.0022937278867139993,0.3743291224836383,0.3839307775163617
Q12,control,20,20,0,0.6283198999999999,0.632423,0.576079,0.679172,0.030526314763529912,4.858403301173482,0.00682589149138083,0.614033145287144,0.6426066547128558
Q14,control,20,20,0,0.49045505,0.488612,0.475972,0.515449,0.010914940627053603,2.225472166522417,0.0024406549212466037,0.48534670067411273,0.4955633993258873
Q18,control,20,20,0,2.41804515,2.4243135000000002,2.304369,2.591269,0.07611230587153157,3.1476792677560863,0.017019228985300096,2.3824234952722714,2.453666804727729
Q1,compacted,20,20,0,5.2511449,5.24336,5.026,5.645054,0.1585398856661695,3.019148941522629,0.03545059614945995,5.176945951444873,5.325343848555127
Q3,compacted,20,20,0,0.9545880499999999,0.9588515,0.87451,1.038337,0.047892782483898354,5.0171152345661945,0.010709151726560794,0.9321735384166667,0.9770025615833331
Q6,compacted,20,20,0,0.29684370000000004,0.2958445,0.286752,0.309755,0.006574799401382603,2.21490279274332,0.0014701698399916423,0.2937665992408214,0.2999208007591787
Q12,compacted,20,20,0,0.5575032,0.566064,0.505561,0.620625,0.03230615130378668,5.794792084383853,0.007223875040666047,0.542383456166885,0.572622943833115
Q14,compacted,20,20,0,0.4274718,0.42378099999999996,0.394786,0.492603,0.026672081663673807,6.239495017840664,0.005964058770140031,0.4149888818566864,0.4399547181433136
Q18,compacted,20,20,0,3.1891009,3.2037025,3.018549,3.314812,0.08401356594772433,2.6343966083896664,0.018786004449127314,3.14978134182387,3.22842045817613
Total Workload,fragmented,20,20,0,7.4578739,7.47067,7.028683,8.157082,0.2743985351305268,3.6793131502334306,0.061357377747822205,7.329451435796742,7.586296364203258
Total Workload,control,20,20,0,11.61584795,11.6299505,11.269046,12.094638,0.22249970685810955,1.9154839820205254,0.04975244695085091,11.511714884473141,11.719981015526857
Total Workload,compacted,20,20,0,10.67665255,10.749953,10.160433,11.304395,0.29633727497272516,2.7755635353397836,0.06626302911060605,10.537962439758802,10.815342660241198
