query,control_mean,fragmented_mean,compacted_mean,A_vs_B_pct,A_vs_C_pct,B_vs_C_pct
Q1,6.5992693000000004,2.6969841,5.2511449,-59.13207997133865,-20.428388943000105,94.70433288798404
Q3,1.1006285999999998,0.6629408,0.9545880499999999,-39.76707492427508,-13.26883110251723,43.99295532874126
Q6,0.37912995,0.28473885,0.29684370000000004,-24.896766926485235,-21.703969839365094,4.25121124145864
Q12,0.6283198999999999,0.6348397,0.5575032,1.03765613662723,-11.270803296219006,-12.182051626575973
Q14,0.49045505,0.42203254999999995,0.4274718,-13.95081975402232,-12.841798652088501,1.2888223905952427
Q18,2.41804515,2.7563379,3.1891009,13.990340502947179,31.88756628469075,15.700651215513162
Total Workload,11.61584795,7.4578739,10.67665255,-35.795699701802654,-8.0854656848362,43.15946733827183
