dataset_scope,policy_name,sla_threshold_pct,total_observations,maintenance_completion_rate_pct,maintenance_deferral_rate_pct,mean_qir_pct,median_qir_pct,p95_qir_pct,max_qir_pct,sla_violation_rate_pct,sla_protection_rate_pct,max_consecutive_deferrals,mean_deferral_streak,number_of_starvation_events
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),7.5,80,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,80,80.0,1
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),10.0,80,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,80,80.0,1
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),12.5,80,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,80,80.0,1
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),15.0,80,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,80,80.0,1
Out-Of-Distribution,Standard Conformal Policy (alpha=0.05),20.0,80,37.5,62.5,0.28,0.0,13.17,31.81,1.25,98.75,9,2.27,4
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),5.0,80,17.5,82.5,-0.77,0.0,3.29,11.17,3.75,96.25,10,4.4,11
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),7.5,80,37.5,62.5,0.28,0.0,13.17,31.81,8.75,91.25,9,2.27,4
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),10.0,80,57.5,42.5,1.27,0.0,18.07,31.81,12.5,87.5,9,2.0,2
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),12.5,80,97.5,2.5,5.4,5.74,19.9,31.81,21.25,78.75,1,1.0,0
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),15.0,80,97.5,2.5,5.4,5.74,19.9,31.81,12.5,87.5,1,1.0,0
Out-Of-Distribution,Adaptive Conformal Policy (alpha=0.10),20.0,80,97.5,2.5,5.4,5.74,19.9,31.81,3.75,96.25,1,1.0,0
