dataset_scope,policy_name,max_deferrals_bound,total_observations,maintenance_completion_rate_pct,forced_runs_pct,maintenance_deferral_rate_pct,mean_qir_pct,median_qir_pct,p95_qir_pct,max_qir_pct,sla_violation_rate_pct,sla_protection_rate_pct,max_consecutive_deferrals,mean_deferral_streak,number_of_starvation_events
Out-Of-Distribution,Policy D: Point Prediction Policy,2,80,97.5,0.0,2.5,5.4,5.74,19.9,31.81,32.5,67.5,1,1.0,0
Out-Of-Distribution,Policy D: Point Prediction Policy,3,80,97.5,0.0,2.5,5.4,5.74,19.9,31.81,32.5,67.5,1,1.0,0
Out-Of-Distribution,Policy D: Point Prediction Policy,5,80,97.5,0.0,2.5,5.4,5.74,19.9,31.81,32.5,67.5,1,1.0,0
Out-Of-Distribution,Policy E: Raw Quantile Policy,0,80,57.5,0.0,42.5,1.27,0.0,18.07,31.81,12.5,87.5,9,2.0,2
Out-Of-Distribution,Policy E: Raw Quantile Policy,1,80,70.0,12.5,30.0,2.17,0.0,19.9,31.81,16.25,83.75,1,1.0,0
Out-Of-Distribution,Policy E: Raw Quantile Policy,2,80,63.75,6.25,36.25,2.04,0.0,18.07,31.81,17.5,82.5,2,1.38,0
Out-Of-Distribution,Policy E: Raw Quantile Policy,3,80,62.5,5.0,37.5,1.84,0.0,19.9,31.81,15.0,85.0,3,1.5,4
Out-Of-Distribution,Policy E: Raw Quantile Policy,5,80,60.0,2.5,40.0,1.54,0.0,18.07,31.81,13.75,86.25,5,1.68,3
Out-Of-Distribution,Policy F: Adaptive Conformal Risk Policy,0,80,17.5,0.0,82.5,-0.77,0.0,3.29,11.17,1.25,98.75,10,4.4,11
Out-Of-Distribution,Policy F: Adaptive Conformal Risk Policy,1,80,53.75,36.25,46.25,1.13,0.0,13.22,17.91,11.25,88.75,1,1.0,0
Out-Of-Distribution,Policy F: Adaptive Conformal Risk Policy,2,80,37.5,20.0,62.5,0.54,0.0,11.34,17.87,6.25,93.75,2,1.72,0
Out-Of-Distribution,Policy F: Adaptive Conformal Risk Policy,3,80,31.25,13.75,68.75,0.19,0.0,11.17,17.91,6.25,93.75,3,2.5,15
Out-Of-Distribution,Policy F: Adaptive Conformal Risk Policy,5,80,22.5,5.0,77.5,-0.46,0.0,6.53,17.87,2.5,97.5,5,3.26,12
